menu_key,menu_name,menu_norm,ingredient,spicy,has_soup,is_raw,main_ingredients,course,confidence,source,months,regions,restaurant_count
굴비 꼬막 한정식|꼬막,굴비 꼬막 한정식,굴비 꼬막 한정식,꼬막,1,N,N,해산물,식사,0.85,rule,2;11;12,전남 순천시,1
굴전|굴,굴전,굴전,굴,0,N,N,해산물,식사,0.7,rule,1;2;11;12,광주 서구;전남 여수시,2
굴죽|굴,굴죽,굴죽,굴,0,Y,N,해산물,식사,0.7,rule,1;2;11;12,전남 여수시,2
굴찜|굴,굴찜,굴찜,굴,1,N,N,해산물,식사,0.7,rule,1;2;11;12,전남 여수시,1
기절낙지|낙지,기절낙지,기절낙지,낙지,0,N,Y,해산물,식사,0.85,manual,1;9;10;11,전남 무안군,1
김전복해물뚝배기|전복,김전복해물뚝배기,김전복해물뚝배기,전복,0,Y,N,해산물,식사,0.85,rule,6;7;8,전남 완도군,1
꼬막구이|꼬막,꼬막구이 등,꼬막구이,꼬막,0,N,N,해산물,식사,0.85,rule,2;11;12,전남 보성군,1
꼬막무침|꼬막,꼬막무침,꼬막무침,꼬막,2,N,N,해산물,식사,0.85,rule,2;11;12,전남 보성군;광주 광산구,3
꼬막백반|꼬막,꼬막백반,꼬막백반,꼬막,1,N,N,해산물,식사,0.85,rule,2;11;12,전남 순천시,1
꼬막장|꼬막,꼬막장,꼬막장,꼬막,1,N,N,해산물,식사,0.85,rule,2;11;12,전남 여수시,1
꼬막전|꼬막,꼬막전,꼬막전,꼬막,0,N,N,해산물,식사,0.85,rule,2;11;12,전남 목포시,1
꼬막정식|꼬막,꼬막정식,꼬막정식,꼬막,1,N,N,해산물,식사,0.85,rule,2;11;12,전남 보성군;전남 순천시,8
꼬막탕수육|꼬막,꼬막탕수육,꼬막탕수육,꼬막,0,N,N,해산물,식사,0.85,rule,2;11;12,전남 보성군,2
꼬막회무침|꼬막,꼬막회무침,꼬막회무침,꼬막,2,N,Y,해산물,식사,0.85,rule,2;11;12,전남 보성군;전남 순천시;전남 여수시,3
꽃게|꽃게,꽃게,꽃게,꽃게,0,N,N,해산물,식사,0.85,manual,9;10,전남 여수시,1
꽃게무침|꽃게,꽃게무침,꽃게무침,꽃게,2,N,N,해산물,식사,0.85,rule,9;10,전남 목포시;전남 무안군;전남 신안군;전남 진도군,5
꽃게살|꽃게,꽃게살,꽃게살,꽃게,0,N,N,해산물,식사,0.85,manual,9;10,전남 목포시;전남 무안군,2
꽃게살 해초 비빔밥|꽃게,꽃게살 해초 비빔밥,꽃게살 해초 비빔밥,꽃게,2,N,N,해산물,식사,0.85,rule,9;10,전남 목포시,1
꽃게살비빔밥|꽃게,꽃게살비빔밥 등,꽃게살비빔밥,꽃게,2,N,N,해산물,식사,0.85,rule,9;10,전남 담양군;전남 진도군,2
꽃게장 알탕|꽃게,꽃게장 알탕,꽃게장 알탕,꽃게,2,Y,N,해산물,식사,0.85,rule,9;10,광주 광산구,1
꽃게장 정식|꽃게,꽃게장 정식,꽃게장 정식,꽃게,1,N,Y,해산물,식사,0.85,rule,9;10,전남 순천시;전남 여수시;광주 서구,4
꽃게장한정식|꽃게,꽃게장한정식,꽃게장한정식,꽃게,1,N,Y,해산물,식사,0.85,rule,9;10,전남 광양시,1
꽃게정식|꽃게,꽃게정식,꽃게정식,꽃게,1,N,N,해산물,식사,0.85,rule,9;10,전남 여수시,1
꽃게찜|꽃게,꽃게찜,꽃게찜,꽃게,1,N,N,해산물,식사,0.85,rule,9;10,전남 여수시,1
꽃게탕+돌게장정식|꽃게,꽃게탕+돌게장정식,꽃게탕+돌게장정식,꽃게,2,Y,N,해산물,식사,0.85,rule,9;10,전남 여수시,2
낙지|낙지,낙지,낙지,낙지,0,N,Y,해산물,식사,0.85,manual,1;9;10;11,전남 여수시,1
낙지 초무침|낙지,낙지 초무침,낙지 초무침,낙지,2,N,N,해산물,식사,0.85,rule,1;9;10;11,전남 무안군;전남 신안군,2
낙지 코다리조림|낙지,낙지 코다리조림 등,낙지 코다리조림,낙지,2,N,N,해산물,식사,0.85,rule,1;9;10;11,전남 여수시,1
낙지 탕탕이|낙지,낙지 탕탕이,낙지 탕탕이,낙지,0,N,Y,해산물,식사,0.85,rule,1;9;10;11,전남 완도군;전남 진도군,3
낙지 호롱구이|낙지,낙지 호롱구이,낙지 호롱구이,낙지,1,N,N,해산물,식사,0.85,rule,1;9;10;11,전남 무안군;전남 영암군;전남 목포시,3
